Title,Title_URL,Image,Tag,Price,Price1,style_component__qn84q,style_listingdetail__b0bdg,style_listingdetail__b0bdg2,style_listingdetail__b0bdg3
153 Moss Creek Blvd,https://www.zoocasa.com/markham-on-real-estate/153-moss-creek-blvd,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F86188a69-6057-4552-a217-ff653100a4ab.jpg&w=640&q=75,Sold,"$2,688,000","List Price$2,780,000",7 days ,5 Bed,6 Bath,3000–3500 sqft
ph3 - 55 Austin Dr,https://www.zoocasa.com/markham-on-real-estate/ph3-55-austin-dr,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$780,000","List Price$799,900",Sold 9 Days Ago,2 Bed,2 Bath,1000–1199 sqft
28 Williams St,https://www.zoocasa.com/markham-on-real-estate/28-williams-st,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2Fbb60ff54-c9cc-49f2-859d-02180b25a3f4.jpg&w=640&q=75,Sold,"$1,360,000","List Price$1,299,000",6 days ,3 Bed,3 Bath,1500–2000 sqft
8 Renata Pl,https://www.zoocasa.com/markham-on-real-estate/8-renata-pl,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,940,000","List Price$1,999,999",8 days ,4 Bed,4 Bath,N/A sqft
23 Dundee Cres,https://www.zoocasa.com/markham-on-real-estate/23-dundee-cres,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,860,000","List Price$1,888,000",9 days ,4 Bed,5 Bath,2500–3000 sqft
204 Simonston Blvd,https://www.zoocasa.com/markham-on-real-estate/204-simonston-blvd,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2Fe957f757-b764-4187-ac27-c5821dfecba3.jpg&w=640&q=75,Sold,"$1,050,000","List Price$1,088,000",10 days ,3 Bed,3 Bath,N/A sqft
227 - 10 Dunsheath Way,https://www.zoocasa.com/markham-on-real-estate/227-10-dunsheath-way,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2Fba2ec492-db2c-4757-a652-5cfe49b5caa5.jpg&w=640&q=75,Sold,"$900,000","List Price$918,800",Sold 10 Days Ago,2 Bed,2 Bath,1000–1199 sqft
38 The Shire Lane,https://www.zoocasa.com/markham-on-real-estate/38-the-shire-ln,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,250,000","List Price$999,999",12 days ,3 Bed,3 Bath,1500–2000 sqft
63 Schouten Cres,https://www.zoocasa.com/markham-on-real-estate/63-schouten-cres,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2Fd384f02b-0392-43de-a891-6d2f34b6ffe5.jpg&w=640&q=75,Sold,"$1,030,000","List Price$898,000",Sold 11 Days Ago,3 Bed,3 Bath,N/A sqft
212 - 28 Uptown Dr,https://www.zoocasa.com/markham-on-real-estate/212-28-uptown-dr,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2Fa0bee638-610f-46cb-a043-b2efec6b8d75.jpg&w=640&q=75,Sold,"$760,800","List Price$698,000",11 days ,1 Bed,2 Bath,700–799 sqft
ph6 - 135 Pond Dr,https://www.zoocasa.com/markham-on-real-estate/ph6-135-pond-dr,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F6d0999b9-629d-47b2-a491-f3690e17f8d9.jpg&w=640&q=75,Sold,"$871,888","List Price$799,000",11 days ,2 Bed,2 Bath,1000–1199 sqft
22 Chumleigh Cres,https://www.zoocasa.com/markham-on-real-estate/22-chumleigh-cres,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F6d78b690-18b0-4fee-a063-e485bc7d9def.jpg&w=640&q=75,Sold,"$1,420,000","List Price$1,180,000",11 days ,3 Bed,3 Bath,N/A sqft
82 Woodward Ave,https://www.zoocasa.com/markham-on-real-estate/82-woodward-ave,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$2,960,000","List Price$2,880,000",11 days ,4 Bed,6 Bath,3500–5000 sqft
70 Storybook Cres,https://www.zoocasa.com/markham-on-real-estate/70-storybook-cres,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2Feef97236-2316-45ce-8934-204098bb8395.jpg&w=640&q=75,Sold,"$2,150,000","List Price$2,180,000",11 days ,4 Bed,6 Bath,3000–3500 sqft
64 Morrison Cres,https://www.zoocasa.com/markham-on-real-estate/64-morrison-cres,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$2,285,000","List Price$2,380,000",11 days ,4 Bed,3 Bath,3000–3500 sqft
43 Foxmeadow Lane,https://www.zoocasa.com/markham-on-real-estate/43-foxmeadow-ln,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$2,523,000","List Price$2,288,000",Sold 12 Days Ago,4 Bed,5 Bath,N/A sqft
6 Beckett Ave,https://www.zoocasa.com/markham-on-real-estate/6-beckett-ave,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F8c4ba474-011e-4340-b29e-b4cbbc07507c.jpg&w=640&q=75,Sold,"$1,780,000","List Price$1,388,000",11 days ,4 Bed,3 Bath,2000–2500 sqft
