Title,Title_URL,Image,Tag,Price,Price1,style_component__qn84q,style_listingdetail__b0bdg,style_listingdetail__b0bdg2,style_listingdetail__b0bdg3
3 Hassard Short Lane,https://www.zoocasa.com/ajax-on-real-estate/3-hassard-short-ln,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,535,000","List Price$1,599,990",11 days ,4 Bed,4 Bath,2500–3000 sqft
38 Carrick Ave,https://www.zoocasa.com/ajax-on-real-estate/38-carrick-ave,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F87ac9cca-6c8d-496e-b1cb-8e3d35056eb2.jpg&w=640&q=75,Sold,"$1,275,000","List Price$1,199,000",Sold 10 Days Ago,4 Bed,4 Bath,2500–3000 sqft
126 Warwick Ave,https://www.zoocasa.com/ajax-on-real-estate/126-warwick-ave,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$875,000","List Price$849,000",Sold 11 Days Ago,3 Bed,2 Bath,N/A sqft
37 Withay Dr,https://www.zoocasa.com/ajax-on-real-estate/37-withay-dr,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F0f9c1b61-a2e9-4f7f-8767-996839b4ad99.jpg&w=640&q=75,Sold,"$1,530,000","List Price$1,495,000",Sold 10 Days Ago,4 Bed,3 Bath,2500–3000 sqft
63 Luce Dr,https://www.zoocasa.com/ajax-on-real-estate/63-luce-dr,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$960,000","List Price$798,000",11 days ,3 Bed,4 Bath,1500–2000 sqft
63 Fisher Cres,https://www.zoocasa.com/ajax-on-real-estate/63-fisher-cres,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$910,000","List Price$769,000",13 days ,3 Bed,2 Bath,N/A sqft
4 Lavan Lane,https://www.zoocasa.com/ajax-on-real-estate/4-lavan-ln,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$900,000","List Price$749,000",Sold 12 Days Ago,3 Bed,3 Bath,1600–1799 sqft
126 Ravenscroft Rd,https://www.zoocasa.com/ajax-on-real-estate/126-ravenscroft-rd,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F739b31ed-329c-4073-821c-42b90951494f.jpg&w=640&q=75,Sold,"$850,000","List Price$775,000",17 days ,3 Bed,2 Bath,1100–1500 sqft
88 Grainger Cres,https://www.zoocasa.com/ajax-on-real-estate/88-grainger-cres,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F4cea97fb-8c54-45dc-91f1-d728f95fcec8.jpg&w=640&q=75,Sold,"$1,760,000","List Price$1,699,000",15 days ,4 Bed,5 Bath,3000–3500 sqft
1158 Shoal Point Rd S,https://www.zoocasa.com/ajax-on-real-estate/1158-shoal-point-rd,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,600,000","List Price$1,295,000",18 days ,3 Bed,4 Bath,N/A sqft
