Title,Title_URL,Image,Tag,Price,Price1,style_component__qn84q,style_listingdetail__b0bdg,style_listingdetail__b0bdg2,style_listingdetail__b0bdg3
335 Goodram Dr,https://www.zoocasa.com/burlington-on-real-estate/335-goodram-dr,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2Ffe05abb5-1930-4df5-b94b-79595055f392.jpg&w=640&q=75,Sold,"$2,000,000","List Price$2,199,900",5 days ,4 Bed,2 Bath,1500–2000 sqft
508 Mathewman Cres,https://www.zoocasa.com/burlington-on-real-estate/508-mathewman-cres,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,715,000","List Price$1,499,900",6 days ,4 Bed,3 Bath,2000–2500 sqft
522 - 3290 New St,https://www.zoocasa.com/burlington-on-real-estate/522-3290-new-st,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F5c189de5-bc79-4b2e-8c77-f8e96e6b3db5.jpg&w=640&q=75,Sold,"$752,500","List Price$752,500",5 days ,2 Bed,2 Bath,1200–1399 sqft
24 - 2220 Lakeshore Rd,https://www.zoocasa.com/burlington-on-real-estate/24-2220-lakeshore-rd,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2Fabdcad75-074a-4b1b-88aa-838b431bf7fc.jpg&w=640&q=75,Sold,"$1,599,000","List Price$1,699,000",Sold 5 Days Ago,2 Bed,2 Bath,1800–1999 sqft
1530 Newlands Cres,https://www.zoocasa.com/burlington-on-real-estate/1530-newlands-cres,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$965,000","List Price$959,000",Sold 8 Days Ago,3 Bed,2 Bath,N/A sqft
912 Long Dr,https://www.zoocasa.com/burlington-on-real-estate/912-long-dr,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F50dab3f8-14a1-4548-b986-1a029a5f10e5.jpg&w=640&q=75,Sold,"$2,450,000","List Price$2,499,900",9 days ,2 Bed,4 Bath,N/A sqft
32 - 4823 Thomas Alton Blvd,https://www.zoocasa.com/burlington-on-real-estate/32-4823-thomas-alton-blvd,https://www.zoocasa.com/_next/image?url=%2Fnext%2Fassets%2Fimages%2Fcoming-soon-image.png&w=640&q=75,Sold,"$1,000,000","List Price$999,000",9 days ,4 Bed,4 Bath,1800–1999 sqft
307 - 2040 Cleaver Ave,https://www.zoocasa.com/burlington-on-real-estate/307-2040-cleaver-ave,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2Fd732a35a-31c9-427b-935a-c218e199921f.jpg&w=640&q=75,Sold,"$610,000","List Price$630,000",9 days ,2 Bed,1 Bath,700–799 sqft
2024 Carleton Crt,https://www.zoocasa.com/burlington-on-real-estate/2024-carleton-ct,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$950,000","List Price$949,900",11 days ,3 Bed,2 Bath,1100–1500 sqft
402 Martha St,https://www.zoocasa.com/burlington-on-real-estate/402-martha-st,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2Fbc6615c5-23d4-4389-94bd-e088622171ea.jpg&w=640&q=75,Sold,"$1,575,000","List Price$1,699,000",9 days ,2 Bed,4 Bath,3000–3500 sqft
19 - 2145 Country Club Dr,https://www.zoocasa.com/burlington-on-real-estate/19-2145-country-club-dr,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2Fe31ff933-b42b-49a0-8fc4-682fa874190b.jpg&w=640&q=75,Sold,"$1,150,000","List Price$1,189,900",9 days ,3 Bed,3 Bath,2000–2249 sqft
3122 Sandcliffe Crt,https://www.zoocasa.com/burlington-on-real-estate/3122-sandcliffe-ct,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F7bb7b44d-9b3f-4d6c-831e-c242473636c0.jpg&w=640&q=75,Sold,"$1,175,000","List Price$1,200,000",9 days ,3 Bed,3 Bath,1500–2000 sqft
480 Amanda Cres,https://www.zoocasa.com/burlington-on-real-estate/480-amanda-cres,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$2,171,116","List Price$1,999,900",10 days ,4 Bed,4 Bath,2500–3000 sqft
5046 Bunton Cres,https://www.zoocasa.com/burlington-on-real-estate/5046-bunton-cres,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F0356d90d-0b80-41c9-9ffd-f017bc657726.jpg&w=640&q=75,Sold,"$1,210,000","List Price$1,225,000",9 days ,3 Bed,3 Bath,1100–1500 sqft
2526 Headon Forest Dr,https://www.zoocasa.com/burlington-on-real-estate/2526-headon-forest-dr,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,600,000","List Price$1,499,000",Sold 11 Days Ago,4 Bed,4 Bath,2000–2500 sqft
4517 Bennett Rd,https://www.zoocasa.com/burlington-on-real-estate/4517-bennett-rd,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$930,000","List Price$799,900",11 days ,3 Bed,2 Bath,1100–1500 sqft
656 Castlegaurd Cres,https://www.zoocasa.com/burlington-on-real-estate/656-castleguard-cres,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,120,000","List Price$1,099,900",10 days ,3 Bed,3 Bath,1100–1500 sqft
1 - 2001 Atkinson Dr,https://www.zoocasa.com/burlington-on-real-estate/1-2001-atkinson-dr,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,111,000","List Price$968,000",10 days ,3 Bed,3 Bath,1400–1599 sqft
2183 Headon Rd,https://www.zoocasa.com/burlington-on-real-estate/2183-headon-rd,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,600,000","List Price$1,599,900",Sold 12 Days Ago,4 Bed,4 Bath,2500–3000 sqft
402 - 442 Maple Ave,https://www.zoocasa.com/burlington-on-real-estate/402-442-maple-ave,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,076,000","List Price$949,900",Sold 10 Days Ago,2 Bed,2 Bath,1400–1599 sqft
2423 Whitehorn Dr,https://www.zoocasa.com/burlington-on-real-estate/2423-whitehorn-dr,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,880,000","List Price$1,999,950",11 days ,4 Bed,3 Bath,2500–3000 sqft
3361 Hedley Rd,https://www.zoocasa.com/burlington-on-real-estate/3361-hedley-rd,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,550,000","List Price$1,499,000",Sold 11 Days Ago,3 Bed,4 Bath,1500–2000 sqft
1 - 1283 Blanshard Dr,https://www.zoocasa.com/burlington-on-real-estate/1-1283-blanshard-dr,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$999,900","List Price$1,069,900",11 days ,3 Bed,4 Bath,1400–1599 sqft
12 - 181 Plains Rd W,https://www.zoocasa.com/burlington-on-real-estate/12-181-plains-rd-w,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F5ba181ac-249d-487e-af02-f517f2b26b6d.jpg&w=640&q=75,Sold,"$870,000","List Price$799,900",9 days ,2 Bed,2 Bath,1200–1399 sqft
1110 - 2055 Upper Middle Rd,https://www.zoocasa.com/burlington-on-real-estate/1110-2055-upper-middle-rd,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$782,000","List Price$699,900",10 days ,2 Bed,2 Bath,1000–1199 sqft
4265 Murvel Ave,https://www.zoocasa.com/burlington-on-real-estate/4265-murvel-ave,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2Fae6776d4-0848-4b85-9194-576f4a3b771f.jpg&w=640&q=75,Sold,"$1,159,000","List Price$1,159,900",Sold 9 Days Ago,3 Bed,3 Bath,1500–2000 sqft
218 Plains Rd E,https://www.zoocasa.com/burlington-on-real-estate/218-plains-rd-e,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,049,999","List Price$1,049,999",10 days ,3 Bed,3 Bath,1600–1799 sqft
3258 Greenbough Cres,https://www.zoocasa.com/burlington-on-real-estate/3258-greenbough-cres,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,205,000","List Price$899,900",11 days ,3 Bed,3 Bath,N/A sqft
2065 Upland Dr,https://www.zoocasa.com/burlington-on-real-estate/2065-upland-dr,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F7dd57f9c-b08a-452c-a93c-c24eb473b171.jpg&w=640&q=75,Sold,"$1,180,000","List Price$1,199,000",Sold 9 Days Ago,3 Bed,2 Bath,1100–1500 sqft
701 - 5250 Lakeshore Rd,https://www.zoocasa.com/burlington-on-real-estate/701-5250-lakeshore-rd,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2Fd22d706d-3eee-435a-9600-33eb9a9b947c.jpg&w=640&q=75,Sold,"$865,000","List Price$879,900",Sold 9 Days Ago,2 Bed,2 Bath,1200–1399 sqft
