Title,Title_URL,Image,Tag,Price,Price1,style_component__qn84q,style_listingdetail__b0bdg,style_listingdetail__b0bdg2,style_listingdetail__b0bdg3
105 Stiver Dr,https://www.zoocasa.com/newmarket-on-real-estate/105-stiver-dr,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,580,000","List Price$1,398,000",12 days ,4 Bed,4 Bath,N/A sqft
268 Austin Paul Dr,https://www.zoocasa.com/newmarket-on-real-estate/268-austin-paul-dr,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F8df0b268-f500-46ed-bfac-6f641518e3ef.jpg&w=640&q=75,Sold,"$1,477,000","List Price$1,540,000",19 days ,4 Bed,4 Bath,N/A sqft
203 - 543 Timothy St,https://www.zoocasa.com/newmarket-on-real-estate/203-543-timothy-st,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F147d4161-808a-45c4-9b1c-987d8a67b631.jpg&w=640&q=75,Sold,"$775,000","List Price$699,000",20 days ,1 Bed,1 Bath,900–999 sqft
343 Hutchcroft Crt,https://www.zoocasa.com/newmarket-on-real-estate/343-hutchcroft-ct,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2Fe3b6c9c2-d16b-4b66-98ed-46f677822fd3.jpg&w=640&q=75,Sold,"$1,480,000","List Price$1,399,000",19 days ,4 Bed,3 Bath,N/A sqft
324 Woodspring Ave,https://www.zoocasa.com/newmarket-on-real-estate/324-woodspring-ave,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F626521e4-d09c-4c40-8b81-786e29d98823.jpg&w=640&q=75,Sold,"$1,485,000","List Price$1,545,000",19 days ,4 Bed,4 Bath,2500–3000 sqft
77 Boothbay Cres,https://www.zoocasa.com/newmarket-on-real-estate/77-boothbay-cres,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F9af82863-02d3-4b75-87a5-ebba803fa243.jpg&w=640&q=75,Sold,"$1,060,000","List Price$899,000",Sold 20 Days Ago,3 Bed,2 Bath,N/A sqft
149 Bothwell Cres,https://www.zoocasa.com/newmarket-on-real-estate/149-bothwell-cres,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F1b0250d6-4f0c-4fde-94b0-8de773f788ce.jpg&w=640&q=75,Sold,"$1,260,000","List Price$977,000",18 days ,4 Bed,3 Bath,N/A sqft
114 William Booth Ave,https://www.zoocasa.com/newmarket-on-real-estate/114-william-booth-ave,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F8e4fc83a-1f05-4bfd-8385-3ce72331847c.jpg&w=640&q=75,Sold,"$1,431,000","List Price$1,539,000",18 days ,4 Bed,4 Bath,N/A sqft
314 Exeter Crt,https://www.zoocasa.com/newmarket-on-real-estate/314-exeter-ct,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2Fb3322f28-8747-4e9f-be50-e23b47711ce0.jpg&w=640&q=75,Sold,"$1,660,000","List Price$1,599,999",Sold 19 Days Ago,4 Bed,4 Bath,N/A sqft
422 Asa St,https://www.zoocasa.com/newmarket-on-real-estate/422-asa-st,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,090,000","List Price$799,900",26 days ,3 Bed,2 Bath,N/A sqft
