Title,Title_URL,Image,Tag,Price,Price1,style_component__qn84q,style_listingdetail__b0bdg,style_listingdetail__b0bdg2,style_listingdetail__b0bdg3
437 Hillcroft St,https://www.zoocasa.com/oshawa-on-real-estate/437-hillcroft-st,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F2f5a1cf3-0b5f-4ddc-9d09-b2f4f74c3b73.jpg&w=640&q=75,Sold,"$820,000","List Price$599,900",5 days ,3 Bed,2 Bath,1100–1500 sqft
1307 Fenelon Cres,https://www.zoocasa.com/oshawa-on-real-estate/1307-fenelon-cres,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$750,000","List Price$599,900",5 days ,3 Bed,2 Bath,N/A sqft
90 - 53 Taunton Rd,https://www.zoocasa.com/oshawa-on-real-estate/90-53-taunton-rd-e,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F82a7bbae-871c-4a52-93aa-3ed5a072f158.jpg&w=640&q=75,Sold,"$650,000","List Price$549,900",5 days ,3 Bed,2 Bath,1200–1399 sqft
314 Pine Ave,https://www.zoocasa.com/oshawa-on-real-estate/314-pine-ave,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2Ff56f9867-82d1-45dc-8177-990d77208528.jpg&w=640&q=75,Sold,"$937,000","List Price$799,000",5 days ,2 Bed,2 Bath,N/A sqft
50 - 1300 Oxford St,https://www.zoocasa.com/oshawa-on-real-estate/50-1300-oxford-st,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$530,000","List Price$399,900",6 days ,3 Bed,2 Bath,1000–1199 sqft
1463 Oxford St,https://www.zoocasa.com/oshawa-on-real-estate/1463-oxford-st,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$815,000","List Price$699,900",6 days ,3 Bed,2 Bath,N/A sqft
2520 Orchestrate Dr,https://www.zoocasa.com/oshawa-on-real-estate/2520-orchestrate-dr,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,265,000","List Price$1,299,900",5 days ,4 Bed,3 Bath,2000–2500 sqft
499 Grenfell St,https://www.zoocasa.com/oshawa-on-real-estate/499-grenfell-st,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2Fd0798bf6-456f-44ec-b6a9-f0e2ff2efc23.jpg&w=640&q=75,Sold,"$706,100","List Price$499,900",5 days ,3 Bed,2 Bath,N/A sqft
34 Athabasca St,https://www.zoocasa.com/oshawa-on-real-estate/34-athabasca-st,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$865,000","List Price$699,000",Sold 5 Days Ago,2 Bed,2 Bath,1100–1500 sqft
411 - 936 Glen St,https://www.zoocasa.com/oshawa-on-real-estate/411-936-glen-st,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F6a7b2466-5965-4678-9cd6-20a25ee1f77d.jpg&w=640&q=75,Sold,"$480,000","List Price$395,000",5 days ,2 Bed,1 Bath,800–899 sqft
546 Antigua Cres,https://www.zoocasa.com/oshawa-on-real-estate/546-antigua-cres,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,061,500","List Price$799,900",6 days ,4 Bed,2 Bath,N/A sqft
388 Harcourt Dr,https://www.zoocasa.com/oshawa-on-real-estate/388-harcourt-dr,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F067aae3c-2a66-48e0-99a6-03b8ad1c8a19.jpg&w=640&q=75,Sold,"$720,000","List Price$649,900",5 days ,3 Bed,2 Bath,N/A sqft
