Title,Title_URL,Image,Tag,Price,Price1,style_component__qn84q,style_listingdetail__b0bdg,style_listingdetail__b0bdg2,style_listingdetail__b0bdg3
56 Wayside Ave,https://www.zoocasa.com/richmond-hill-on-real-estate/56-wayside-ave,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F791d2847-f73b-4274-8796-5a13ed4d4f49.jpg&w=640&q=75,Sold,"$1,810,000","List Price$1,899,800",9 days ,5 Bed,6 Bath,N/A sqft
63 Barnwood Dr,https://www.zoocasa.com/richmond-hill-on-real-estate/63-barnwood-dr,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2Ffd46456c-c7fa-4594-87a6-ad6c58a34029.jpg&w=640&q=75,Sold,"$1,680,000","List Price$1,388,888",10 days ,4 Bed,4 Bath,2000–2500 sqft
76 Ruby Cres,https://www.zoocasa.com/richmond-hill-on-real-estate/76-ruby-cres,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2Fbe0433af-6b81-466b-9cfe-9c1f3728bb44.jpg&w=640&q=75,Sold,"$1,200,000","List Price$1,248,000",11 days ,3 Bed,3 Bath,1500–2000 sqft
11 Rustic Ave,https://www.zoocasa.com/richmond-hill-on-real-estate/11-rustic-ave,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F7adacb46-040c-4c32-8996-c5643c1d9fcb.jpg&w=640&q=75,Sold,"$1,199,300","List Price$1,199,000",12 days ,3 Bed,4 Bath,1500–2000 sqft
18 Casely Ave,https://www.zoocasa.com/richmond-hill-on-real-estate/18-casely-ave,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2Fc87d337d-4fc4-4268-8f93-9d3fbe826fb7.jpg&w=640&q=75,Sold,"$1,598,000","List Price$1,188,000",Sold 13 Days Ago,4 Bed,3 Bath,1500–2000 sqft
158 Forestwood St,https://www.zoocasa.com/richmond-hill-on-real-estate/158-forestwood-st,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F9870501c-2fd7-43ce-8c60-f58f956b0fcb.jpg&w=640&q=75,Sold,"$1,975,000","List Price$1,880,000",13 days ,5 Bed,6 Bath,3000–3500 sqft
24 Homerton Ave,https://www.zoocasa.com/richmond-hill-on-real-estate/24-homerton-ave,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F244afbf8-c842-4bca-9b4b-b6ccda3900bb.jpg&w=640&q=75,Sold,"$1,750,000","List Price$1,698,000",12 days ,4 Bed,4 Bath,N/A sqft
139 Carrington Dr,https://www.zoocasa.com/richmond-hill-on-real-estate/139-carrington-dr,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F27adb1a9-0b23-4346-b767-830c4390da74.jpg&w=640&q=75,Sold,"$2,150,000","List Price$2,258,000",12 days ,4 Bed,4 Bath,3000–3500 sqft
17 Latchford Lane,https://www.zoocasa.com/richmond-hill-on-real-estate/17-latchford-ln,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2Fc1a4a6b3-22ce-4828-a25d-b1f6fe33e425.jpg&w=640&q=75,Sold,"$1,488,888","List Price$1,288,800",Sold 16 Days Ago,3 Bed,4 Bath,2000–2500 sqft
43 Topham Cres,https://www.zoocasa.com/richmond-hill-on-real-estate/43-topham-cres,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,980,000","List Price$1,488,000",17 days ,5 Bed,5 Bath,N/A sqft
99 Gemini Cres,https://www.zoocasa.com/richmond-hill-on-real-estate/99-gemini-cres,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2Fe067a969-ce3f-4155-9c11-3d07c01e6d3d.jpg&w=640&q=75,Sold,"$2,228,000","List Price$2,290,000",13 days ,5 Bed,5 Bath,2500–3000 sqft
101 Farmstead Rd,https://www.zoocasa.com/richmond-hill-on-real-estate/101-farmstead-rd,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$2,070,000","List Price$2,220,000",17 days ,4 Bed,4 Bath,N/A sqft
2 Brower Ave,https://www.zoocasa.com/richmond-hill-on-real-estate/2-brower-ave,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,480,000","List Price$1,498,000",17 days ,4 Bed,4 Bath,2000–2500 sqft
103 Antique Dr,https://www.zoocasa.com/richmond-hill-on-real-estate/103-antique-dr,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F3634314c-0304-486b-8288-ff2898f0a968.jpg&w=640&q=75,Sold,"$1,335,000","List Price$1,199,900",Sold 14 Days Ago,3 Bed,3 Bath,N/A sqft
54 Craigleith Cres,https://www.zoocasa.com/richmond-hill-on-real-estate/54-craigleith-cres,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,695,000","List Price$1,598,888",Sold 17 Days Ago,3 Bed,2 Bath,2000–2500 sqft
812 - 396 Highway # 7 St E,https://www.zoocasa.com/richmond-hill-on-real-estate/812-396-hwy-7,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2Ff14edaca-a5cd-4166-acd0-1f6e957bf1f6.jpg&w=640&q=75,Sold,"$638,800","List Price$598,000",18 days ,1 Bed,1 Bath,500–599 sqft
26 Wolf Trail Cres,https://www.zoocasa.com/richmond-hill-on-real-estate/26-wolf-trail-cres,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F8de5c047-fd0b-4dd4-a608-97ad6ccf1cc8.jpg&w=640&q=75,Sold,"$2,048,000","List Price$2,288,000",Sold 13 Days Ago,4 Bed,5 Bath,3000–3500 sqft
6 Vandervoort Dr,https://www.zoocasa.com/richmond-hill-on-real-estate/6-vandervoort-dr,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F26d384ef-9195-4564-ada8-f7c42d5f39a9.jpg&w=640&q=75,Sold,"$1,225,000","List Price$1,299,000",14 days ,3 Bed,3 Bath,N/A sqft
17 Bishopsbridge Cres,https://www.zoocasa.com/richmond-hill-on-real-estate/17-bishopsbridge-cres,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,800,000","List Price$1,880,000",15 days ,4 Bed,4 Bath,N/A sqft
108 - 11 Oneida Cres,https://www.zoocasa.com/richmond-hill-on-real-estate/108-11-oneida-cres,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F8fa999b3-63d8-4681-80e8-e8864b55af93.jpg&w=640&q=75,Sold,"$520,000","List Price$449,000",14 days ,0 Bed,1 Bath,0-499 sqft
